X11; Linux,4,12,4,0,4,0
compatible; bingbot/2.0;,37,111,37,0,37,0
Windows NT 6.2,4,12,4,0,4,0
Linux; Android 8.0.0,17,51,17,8,9,0
Linux; Android 5.0,38,114,38,0,38,0
compatible; AhrefsBot/6.1;,15,45,15,0,15,0
Linux; Android 5.1,6,18,6,0,6,0
Android 7.1.1;,18,54,18,0,18,0
Windows NT 6.1,11,33,11,3,8,0
Macintosh; Intel,6,18,6,0,6,0
Linux; U;,15,45,15,0,15,0
Linux; Android 6.0,22,66,22,0,22,0
Linux; Android 6.0.1,24,72,24,0,24,0
compatible; Googlebot/2.1;,23,69,23,0,23,0
iPhone; CPU,46,138,46,0,42,4
Windows NT,1,3,1,0,1,0
Windows NT 5.1,2,6,2,0,2,0
Linux; Android 5.1.1,21,63,21,0,21,0
"",9,27,9,0,9,0
